iter	RMSE
0	39.02001528
1	39.01708154
2	39.01365892
3	39.01155246
4	39.00899226
5	39.00715365
6	39.00531983
7	39.00338462
8	39.00182062
9	39.00032196
10	38.99928688
11	38.99856808
12	38.99720027
13	38.99639966
14	38.99524924
15	38.99405809
16	38.99321446
17	38.99230366
18	38.99113452
19	38.98999489
20	38.9887688
21	38.98769363
22	38.98691646
23	38.98613765
24	38.98502914
25	38.98442324
26	38.98359124
27	38.98227177
28	38.98112959
29	38.9802772
30	38.97922837
31	38.97867613
32	38.97795303
33	38.97751682
34	38.97633314
35	38.9754953
36	38.97488474
37	38.97378672
38	38.97275399
39	38.97180362
40	38.9707969
41	38.96994541
42	38.96897329
43	38.9678652
44	38.96714295
45	38.96641922
46	38.9659148
47	38.96506264
48	38.96397325
49	38.96319752
50	38.96216486
51	38.96139368
52	38.96048769
53	38.95954664
54	38.9583862
55	38.95742819
56	38.95641036
57	38.95560786
58	38.95471169
59	38.95372612
60	38.95270857
61	38.95218484
62	38.95169831
63	38.95071805
64	38.9503093
65	38.94922814
66	38.94871079
67	38.94803024
68	38.94731188
69	38.94646774
70	38.94570158
71	38.94514049
72	38.94509324
73	38.9443099
74	38.94387988
75	38.94335324
76	38.94277059
77	38.94224257
78	38.94175494
79	38.94120736
80	38.94068932
81	38.94014182
82	38.93950715
83	38.93863437
84	38.93804747
85	38.93736525
86	38.93686387
87	38.93636238
88	38.93574733
89	38.9349787
90	38.93422409
91	38.93384024
92	38.93318794
93	38.93253422
94	38.93150879
95	38.93082381
96	38.93028774
97	38.9293786
98	38.92897552
99	38.92841924
100	38.92750835
101	38.92692804
102	38.92615877
103	38.92548484
104	38.92468781
105	38.92417667
106	38.92373479
107	38.92288699
108	38.92209091
109	38.92139125
110	38.92053894
111	38.92015748
112	38.91988257
113	38.91936929
114	38.91862444
115	38.91815236
116	38.91749565
117	38.91701699
118	38.9163332
119	38.91596053
120	38.91561222
121	38.91479615
122	38.91388298
123	38.9131688
124	38.91232701
125	38.91137614
126	38.91037986
127	38.90992144
128	38.90914744
129	38.90842453
130	38.90787745
131	38.90736179
132	38.90634598
133	38.90554823
134	38.90463143
135	38.90360977
136	38.90249759
137	38.9014098
138	38.90069302
139	38.89993523
140	38.89907625
141	38.89832981
142	38.89752407
143	38.89664989
144	38.89571685
145	38.89497591
146	38.89421918
147	38.89358296
148	38.89281232
149	38.89214936
150	38.89130926
151	38.89046781
152	38.88968941
153	38.88869085
154	38.88788456
155	38.8869058
156	38.88625889
157	38.88564943
158	38.88508833
159	38.88436239
160	38.88365374
161	38.88278554
162	38.88192243
163	38.88101749
164	38.88018065
165	38.87949735
166	38.87876072
167	38.87790259
168	38.87722592
169	38.87668204
170	38.87577647
171	38.87487155
172	38.87423005
173	38.87353346
174	38.87281289
175	38.87213229
176	38.87149577
177	38.87074757
178	38.86999002
179	38.86939416
180	38.8687308
181	38.86811172
182	38.86727431
183	38.86660374
184	38.86592939
185	38.86542641
186	38.86463097
187	38.86371681
188	38.86284618
189	38.86193653
190	38.8613523
191	38.860584
192	38.85985232
193	38.85930465
194	38.85841523
195	38.85757921
196	38.85695117
197	38.85602887
198	38.85539902
199	38.85467859
200	38.85403538
201	38.8534759
202	38.85276154
203	38.85208703
204	38.85127031
205	38.85043852
206	38.8499543
207	38.84917663
208	38.84834719
209	38.8478543
210	38.84734373
211	38.84657262
212	38.84577802
213	38.84507172
214	38.84427754
215	38.84381557
216	38.84301886
217	38.84217885
218	38.84146079
219	38.84085733
220	38.84015535
221	38.83940287
222	38.83871275
223	38.83816949
224	38.83757825
225	38.83699975
226	38.83613864
227	38.83526449
228	38.83436653
229	38.83354429
230	38.83263917
231	38.83190086
232	38.83139819
233	38.83069469
234	38.83013198
235	38.82928368
236	38.82858487
237	38.82786812
238	38.8272708
239	38.82655488
240	38.82589018
241	38.82524641
242	38.82431206
243	38.82367926
244	38.82294531
245	38.82230199
246	38.82164025
247	38.82100685
248	38.82039646
249	38.81932382
250	38.81869156
251	38.81797677
252	38.81730517
253	38.81638878
254	38.81564869
255	38.81502744
256	38.81428492
257	38.81336
258	38.81285033
259	38.81211308
260	38.81136634
261	38.81057916
262	38.80974155
263	38.80885705
264	38.80835989
265	38.80768239
266	38.80679668
267	38.80603037
268	38.80533096
269	38.80470907
270	38.80381483
271	38.80331268
272	38.80242277
273	38.80183553
274	38.80124508
275	38.800683
276	38.80013245
277	38.79931628
278	38.79865182
279	38.7979601
280	38.79712794
281	38.79635911
282	38.79558086
283	38.794982
284	38.79397562
285	38.79352797
286	38.79282561
287	38.79210979
288	38.79137877
289	38.7906512
290	38.79003396
291	38.78962244
292	38.78916937
293	38.78844626
294	38.78772952
295	38.78712691
296	38.78657871
297	38.78602919
298	38.78523931
299	38.78442068
300	38.78364548
301	38.78324338
302	38.78236976
303	38.78174253
304	38.78104165
305	38.78042236
306	38.77976202
307	38.77942786
308	38.77849994
309	38.7778476
310	38.7769478
311	38.77636101
312	38.77561425
313	38.77492217
314	38.77424729
315	38.77356669
316	38.77280856
317	38.77232559
318	38.7716173
319	38.77087742
320	38.77015044
321	38.76939418
322	38.76874493
323	38.76808305
324	38.76735676
325	38.76662161
326	38.76580079
327	38.76519206
328	38.7643856
329	38.76394263
330	38.76329019
331	38.76252927
332	38.76197019
333	38.7612752
334	38.76053635
335	38.75961458
336	38.75906209
337	38.75830108
338	38.75773217
339	38.75709566
340	38.75643987
341	38.75573829
342	38.7552406
343	38.75469532
344	38.75416563
345	38.75349228
346	38.75283505
347	38.7524347
348	38.75187695
349	38.75109558
350	38.75047826
351	38.74987029
352	38.74933327
353	38.74858499
354	38.74811653
355	38.74744752
356	38.74676252
357	38.746036
358	38.74546696
359	38.74482369
360	38.74419835
361	38.74355802
362	38.74291203
363	38.74219895
364	38.74138851
365	38.74104629
366	38.740302
367	38.73969714
368	38.73921764
369	38.73882034
370	38.73827066
371	38.73757791
372	38.73690119
373	38.73623419
374	38.73567281
375	38.73496732
376	38.73453146
377	38.7340602
378	38.7335418
379	38.73256595
380	38.73195001
381	38.73127419
382	38.73068487
383	38.72988365
384	38.729272
385	38.72860436
386	38.72768984
387	38.7271925
388	38.72648277
389	38.72605488
390	38.72546122
391	38.72484602
392	38.72430832
393	38.72404327
394	38.72349191
395	38.72293464
396	38.72249346
397	38.72182339
398	38.7211521
399	38.72036814
400	38.71968691
401	38.71906464
402	38.71857214
403	38.71805071
404	38.71733765
405	38.71669199
406	38.71620205
407	38.71550104
408	38.71480339
409	38.71409682
410	38.71352732
411	38.71314702
412	38.71244534
413	38.71196747
414	38.71135985
415	38.71053607
416	38.70984743
417	38.70936363
418	38.70881752
419	38.70824478
420	38.70758256
421	38.70703196
422	38.70630252
423	38.70583326
424	38.70518456
425	38.70453491
426	38.70381162
427	38.70326224
428	38.70269717
429	38.7020056
430	38.70123974
431	38.70064229
432	38.70002655
433	38.699478
434	38.69889047
435	38.69823333
436	38.6976964
437	38.69717874
438	38.69665487
439	38.69594997
440	38.69530186
441	38.69485523
442	38.69443191
443	38.69380136
444	38.6931023
445	38.6925198
446	38.69189427
447	38.69122666
448	38.69072361
449	38.69029873
450	38.68971465
451	38.68926461
452	38.6885611
453	38.68812728
454	38.68752082
455	38.68694995
456	38.68639319
457	38.6859545
458	38.6853886
459	38.68494904
460	38.68432919
461	38.68395556
462	38.68310503
463	38.68254243
464	38.68187089
465	38.68137521
466	38.68083879
467	38.68033504
468	38.67972288
469	38.67926426
470	38.67868509
471	38.67822305
472	38.67750921
473	38.67696773
474	38.67667008
475	38.67609345
476	38.67547974
477	38.67471195
478	38.67404594
479	38.67333347
480	38.67265814
481	38.67202824
482	38.67148984
483	38.67101822
484	38.67029747
485	38.66960567
486	38.66900003
487	38.66829902
488	38.66765502
489	38.6668534
490	38.66636442
491	38.66581893
492	38.6649377
493	38.66451921
494	38.66394765
495	38.66328828
496	38.66277139
497	38.66213749
498	38.66146217
499	38.66094666
500	38.66032835
501	38.65981894
502	38.65926377
503	38.65868162
504	38.65811557
505	38.65764624
506	38.6570629
507	38.65663159
508	38.65608691
509	38.65561737
510	38.65495401
511	38.65419906
512	38.65361025
513	38.65309847
514	38.65250077
515	38.65169809
516	38.65121176
517	38.65052831
518	38.65004119
519	38.64943983
520	38.64889853
521	38.64845179
522	38.64781872
523	38.64710873
524	38.64652193
525	38.64584848
526	38.64539652
527	38.64483844
528	38.64404373
529	38.64353896
530	38.64281011
531	38.64230803
532	38.64174413
533	38.64118669
534	38.64078362
535	38.6402102
536	38.63948467
537	38.6390248
538	38.63845589
539	38.63793312
540	38.63743899
541	38.63667152
542	38.63604109
543	38.63531971
544	38.63477209
545	38.63417872
546	38.63367731
547	38.6330507
548	38.63244329
549	38.63200869
550	38.63156542
551	38.63099285
552	38.63029725
553	38.6298635
554	38.62930462
555	38.62866911
556	38.62823465
557	38.62788568
558	38.62742691
559	38.62683326
560	38.62624694
561	38.62573709
562	38.62512557
563	38.6247121
564	38.62413771
565	38.62350348
566	38.62294704
567	38.62256934
568	38.62204429
569	38.62159049
570	38.62111542
571	38.6205982
572	38.6199072
573	38.61933061
574	38.6187316
575	38.61801595
576	38.61753853
577	38.61714401
578	38.61675378
579	38.61599177
580	38.61554432
581	38.61501777
582	38.61455201
583	38.61401906
584	38.61343367
585	38.61287945
586	38.61230638
587	38.61189463
588	38.61138917
589	38.61076581
590	38.61010859
591	38.60966386
592	38.60901605
593	38.60838722
594	38.60765015
595	38.6070778
596	38.60650387
597	38.60598047
598	38.60528511
599	38.6047624
600	38.60432181
601	38.60370152
602	38.60331979
603	38.60259564
604	38.60209357
605	38.6015991
606	38.60097081
607	38.60035041
608	38.59965334
609	38.59901442
610	38.59847368
611	38.59791472
612	38.59726699
613	38.59674974
614	38.59605189
615	38.59545937
616	38.594898
617	38.59439849
618	38.5938158
619	38.59333175
620	38.59293125
621	38.59241251
622	38.59182269
623	38.59125255
624	38.59080173
625	38.59044187
626	38.58999032
627	38.58940898
628	38.58889229
629	38.58835483
630	38.58792905
631	38.58733794
632	38.58696229
633	38.58653466
634	38.58586172
635	38.58514914
636	38.58462317
637	38.58396506
638	38.58350496
639	38.58307261
640	38.5824192
641	38.58198771
642	38.5815065
643	38.58075939
644	38.58029722
645	38.57982292
646	38.57928072
647	38.57874486
648	38.57826616
649	38.5777765
650	38.57708228
651	38.57672404
652	38.57610204
653	38.57560806
654	38.57503615
655	38.57464859
656	38.57418325
657	38.57355995
658	38.57302682
659	38.57221415
660	38.57164216
661	38.57113687
662	38.57056977
663	38.56994895
664	38.5694091
665	38.56892831
666	38.56852461
667	38.56795328
668	38.56750883
669	38.5672504
670	38.56670345
671	38.56612217
672	38.56568999
673	38.56522052
674	38.56480739
675	38.56422559
676	38.56384162
677	38.56328404
678	38.5628467
679	38.56227097
680	38.56189731
681	38.56127118
682	38.56059372
683	38.56001305
684	38.55939089
685	38.55900203
686	38.55834251
687	38.55783437
688	38.55738517
689	38.55702689
690	38.55650976
691	38.55599708
692	38.55540248
693	38.55490702
694	38.55440355
695	38.55377731
696	38.5531657
697	38.55279077
698	38.55218798
699	38.5517367
700	38.55118243
701	38.55086209
702	38.55028858
703	38.54977325
704	38.54923805
705	38.5486931
706	38.54796405
707	38.54758802
708	38.54712534
709	38.54653438
710	38.54598579
711	38.54560531
712	38.54501432
713	38.54463956
714	38.54425528
715	38.54377748
716	38.54312406
717	38.54269552
718	38.54224917
719	38.5415447
720	38.54105326
721	38.54033582
722	38.539929
723	38.53941347
724	38.53869564
725	38.53803865
726	38.53763071
727	38.53700178
728	38.53638422
729	38.53603916
730	38.53544263
731	38.53489542
732	38.53433747
733	38.53372974
734	38.53333618
735	38.53299241
736	38.53245466
737	38.53176062
738	38.531095
739	38.53051453
740	38.52985218
741	38.52945936
742	38.52891174
743	38.52833391
744	38.52759322
745	38.52721844
746	38.52649092
747	38.52589447
748	38.52558482
749	38.52511876
750	38.52460172
751	38.52403417
752	38.52354978
753	38.52319587
754	38.52254882
755	38.52189786
756	38.52142675
757	38.52091108
758	38.52040568
759	38.52001102
760	38.51945813
761	38.51882088
762	38.51831598
763	38.5178608
764	38.51739355
765	38.51681224
766	38.51634391
767	38.51558847
768	38.51502086
769	38.51440462
770	38.51392659
771	38.51338813
772	38.51274223
773	38.51210542
774	38.51167149
775	38.5112669
776	38.51076877
777	38.51024663
778	38.50982704
779	38.50927358
780	38.50884434
781	38.50832172
782	38.50765875
783	38.50704265
784	38.50664118
785	38.50600174
786	38.50533909
787	38.50462324
788	38.50414298
789	38.50365796
790	38.50324828
791	38.50273189
792	38.50223739
793	38.5017368
794	38.50128598
795	38.50078185
796	38.50039952
797	38.49984108
798	38.49910516
799	38.4985091
800	38.49809853
801	38.49759914
802	38.49710935
803	38.49646497
804	38.49591372
805	38.49532709
806	38.49485041
807	38.49442752
808	38.49404135
809	38.49336047
810	38.49280019
811	38.49227258
812	38.49185925
813	38.49134496
814	38.4911192
815	38.49052401
816	38.4900944
817	38.48956513
818	38.48904182
819	38.48861129
820	38.48814613
821	38.48743048
822	38.48695287
823	38.48630879
824	38.4856365
825	38.48512888
826	38.48471588
827	38.48438639
828	38.483935
829	38.48315663
830	38.48258386
831	38.48214204
832	38.48164142
833	38.48105193
834	38.48049035
835	38.48013589
836	38.47967717
837	38.47898608
838	38.47837102
839	38.47775672
840	38.47726749
841	38.47672542
842	38.47619503
843	38.47553089
844	38.47488545
845	38.4744162
846	38.47382665
847	38.47317214
848	38.47264755
849	38.47218161
850	38.47153872
851	38.47098023
852	38.47043065
853	38.46990823
854	38.46925283
855	38.46863296
856	38.46803545
857	38.46749486
858	38.46711735
859	38.46660613
860	38.46602505
861	38.46532212
862	38.46487045
863	38.464263
864	38.46367805
865	38.46323521
866	38.46277129
867	38.46233024
868	38.46172761
869	38.46134094
870	38.46083895
871	38.46054103
872	38.45958082
873	38.45907343
874	38.45862853
875	38.45783455
876	38.45754919
877	38.45705697
878	38.45655627
879	38.45590804
880	38.45520864
881	38.45465548
882	38.45413211
883	38.45371183
884	38.45316795
885	38.45262433
886	38.45197003
887	38.45154819
888	38.45108578
889	38.45045623
890	38.44993426
891	38.44940222
892	38.44871909
893	38.44831322
894	38.44776644
895	38.44736123
896	38.44678078
897	38.44628314
898	38.44580115
899	38.44512418
900	38.44472277
901	38.44417703
902	38.44362169
903	38.4429447
904	38.44241618
905	38.44179103
906	38.44132572
907	38.4407723
908	38.44044497
909	38.43988088
910	38.43942188
911	38.43892531
912	38.43864116
913	38.43827
914	38.43762636
915	38.43717668
916	38.43665477
917	38.43631582
918	38.43554028
919	38.43491459
920	38.4342407
921	38.43352636
922	38.43309727
923	38.43279395
924	38.43241183
925	38.43188228
926	38.43142443
927	38.43065159
928	38.43024718
929	38.42978892
930	38.42923391
931	38.42882818
932	38.42814707
933	38.42745762
934	38.42695586
935	38.42657557
936	38.42608753
937	38.42572893
938	38.42531032
939	38.42483079
940	38.42424955
941	38.42376499
942	38.42327086
943	38.42282405
944	38.42235712
945	38.42202368
946	38.42145856
947	38.42083193
948	38.42021812
949	38.41969276
950	38.4190564
951	38.41879918
952	38.41822382
953	38.41779291
954	38.41722841
955	38.41679048
956	38.41617414
957	38.41568154
958	38.41510413
959	38.41460856
960	38.41394582
961	38.41359959
962	38.41305476
963	38.41271409
964	38.41220183
965	38.41147098
966	38.41088054
967	38.41032776
968	38.40981333
969	38.40960605
970	38.40921577
971	38.40865123
972	38.40805708
973	38.40766931
974	38.40721074
975	38.4066906
976	38.40625262
977	38.40555429
978	38.40507601
979	38.40468191
980	38.40412595
981	38.40364836
982	38.40331832
983	38.40282915
984	38.40219035
985	38.4017055
986	38.40117938
987	38.40080288
988	38.40046693
989	38.39997918
990	38.39957262
991	38.39901607
992	38.39848118
993	38.39797117
994	38.39738803
995	38.39693619
996	38.39641837
997	38.39606782
998	38.39556889
999	38.39494738
