iter	Passed	Remaining
0	8	8344
1	16	8249
2	24	8160
3	32	8034
4	40	8064
5	49	8191
6	57	8221
7	67	8326
8	74	8256
9	83	8236
10	91	8213
11	100	8255
12	108	8241
13	116	8197
14	124	8190
15	132	8148
16	140	8124
17	148	8113
18	157	8107
19	165	8088
20	173	8077
21	182	8096
22	190	8076
23	198	8056
24	206	8047
25	214	8032
26	222	8029
27	230	8010
28	238	7991
29	246	7968
30	255	7974
31	263	7975
32	271	7965
33	279	7939
34	287	7919
35	295	7903
36	303	7908
37	311	7886
38	319	7877
39	327	7858
40	335	7850
41	343	7835
42	351	7825
43	360	7822
44	368	7828
45	376	7814
46	385	7806
47	393	7796
48	401	7798
49	410	7790
50	418	7785
51	425	7761
52	434	7755
53	441	7739
54	449	7726
55	458	7732
56	467	7731
57	474	7708
58	482	7689
59	489	7667
60	497	7662
61	505	7648
62	512	7627
63	520	7614
64	528	7602
65	536	7585
66	544	7579
67	551	7559
68	559	7550
69	567	7541
70	576	7541
71	584	7528
72	590	7497
73	598	7491
74	606	7481
75	614	7473
76	622	7459
77	629	7440
78	636	7417
79	643	7404
80	651	7395
81	660	7396
82	668	7384
83	676	7372
84	683	7357
85	692	7354
86	699	7345
87	707	7335
88	716	7331
89	724	7323
90	732	7316
91	740	7304
92	747	7293
93	756	7295
94	765	7292
95	773	7285
96	781	7279
97	789	7268
98	797	7260
99	805	7248
100	814	7245
101	822	7242
102	830	7232
103	838	7228
104	847	7224
105	855	7216
106	863	7206
107	871	7199
108	879	7188
109	887	7179
110	894	7164
111	901	7147
112	908	7132
113	916	7119
114	924	7111
115	931	7100
116	940	7098
117	948	7088
118	957	7085
119	964	7073
120	971	7060
121	980	7054
122	987	7043
123	996	7037
124	1004	7031
125	1012	7021
126	1020	7013
127	1028	7004
128	1035	6991
129	1043	6982
130	1052	6979
131	1060	6970
132	1067	6960
133	1076	6958
134	1084	6947
135	1092	6941
136	1099	6927
137	1107	6918
138	1115	6907
139	1122	6897
140	1130	6888
141	1139	6883
142	1147	6876
143	1155	6868
144	1162	6855
145	1170	6847
146	1179	6842
147	1187	6835
148	1194	6822
149	1203	6819
150	1211	6808
151	1219	6801
152	1226	6790
153	1234	6779
154	1241	6767
155	1249	6760
156	1257	6749
157	1265	6742
158	1273	6737
159	1281	6730
160	1291	6727
161	1299	6719
162	1307	6711
163	1314	6700
164	1322	6690
165	1329	6678
166	1336	6668
167	1344	6658
168	1352	6651
169	1360	6641
170	1368	6634
171	1377	6629
172	1385	6622
173	1393	6612
174	1401	6605
175	1409	6597
176	1416	6586
177	1424	6578
178	1432	6570
179	1440	6563
180	1449	6558
181	1456	6548
182	1464	6537
183	1473	6532
184	1480	6522
185	1487	6510
186	1495	6503
187	1503	6492
188	1510	6483
189	1517	6470
190	1525	6461
191	1533	6453
192	1541	6446
193	1549	6436
194	1556	6426
195	1565	6420
196	1573	6412
197	1581	6406
198	1590	6401
199	1598	6394
200	1606	6386
201	1614	6378
202	1621	6367
203	1630	6360
204	1637	6352
205	1645	6343
206	1653	6332
207	1661	6326
208	1670	6321
209	1677	6309
210	1684	6298
211	1691	6288
212	1698	6277
213	1706	6268
214	1715	6262
215	1722	6251
216	1730	6242
217	1738	6237
218	1746	6229
219	1754	6220
220	1762	6212
221	1771	6207
222	1778	6198
223	1786	6190
224	1794	6180
225	1802	6172
226	1809	6162
227	1817	6153
228	1825	6144
229	1833	6137
230	1841	6129
231	1848	6119
232	1856	6110
233	1864	6103
234	1872	6094
235	1880	6087
236	1888	6078
237	1895	6068
238	1903	6059
239	1910	6050
240	1918	6041
241	1925	6032
242	1933	6023
243	1942	6017
244	1949	6007
245	1957	6001
246	1967	5996
247	1974	5987
248	1981	5976
249	1989	5969
250	1997	5959
251	2004	5950
252	2013	5943
253	2020	5935
254	2028	5926
255	2036	5917
256	2044	5910
257	2051	5901
258	2059	5893
259	2069	5888
260	2077	5883
261	2085	5875
262	2093	5867
263	2102	5860
264	2109	5851
265	2117	5843
266	2125	5836
267	2134	5829
268	2143	5824
269	2151	5817
270	2159	5809
271	2168	5803
272	2176	5796
273	2184	5786
274	2192	5779
275	2200	5771
276	2208	5763
277	2216	5756
278	2224	5749
279	2233	5742
280	2242	5736
281	2250	5730
282	2258	5722
283	2268	5718
284	2277	5712
285	2285	5705
286	2293	5698
287	2301	5690
288	2309	5681
289	2317	5672
290	2324	5663
291	2331	5653
292	2340	5648
293	2349	5641
294	2357	5634
295	2366	5627
296	2373	5618
297	2381	5610
298	2390	5603
299	2398	5597
300	2406	5588
301	2414	5581
302	2422	5571
303	2429	5561
304	2438	5556
305	2446	5549
306	2454	5540
307	2462	5532
308	2470	5524
309	2478	5516
310	2487	5510
311	2495	5501
312	2502	5493
313	2510	5484
314	2517	5474
315	2525	5467
316	2534	5460
317	2541	5451
318	2549	5442
319	2558	5435
320	2565	5425
321	2573	5417
322	2581	5410
323	2590	5404
324	2598	5396
325	2606	5389
326	2614	5380
327	2621	5371
328	2629	5363
329	2638	5356
330	2646	5349
331	2655	5343
332	2663	5335
333	2671	5327
334	2680	5320
335	2688	5313
336	2696	5305
337	2704	5296
338	2711	5287
339	2720	5280
340	2728	5272
341	2736	5264
342	2743	5254
343	2752	5248
344	2760	5240
345	2768	5232
346	2776	5224
347	2784	5216
348	2792	5208
349	2799	5199
350	2807	5190
351	2814	5182
352	2822	5173
353	2830	5164
354	2837	5156
355	2845	5147
356	2854	5140
357	2862	5132
358	2869	5124
359	2877	5116
360	2885	5108
361	2894	5100
362	2902	5092
363	2910	5084
364	2917	5076
365	2925	5067
366	2933	5060
367	2941	5052
368	2950	5045
369	2958	5036
370	2965	5028
371	2973	5019
372	2982	5013
373	2990	5005
374	2998	4996
375	3006	4990
376	3013	4980
377	3021	4972
378	3029	4963
379	3036	4955
380	3044	4946
381	3053	4940
382	3061	4931
383	3069	4923
384	3076	4914
385	3083	4905
386	3091	4897
387	3099	4889
388	3107	4880
389	3115	4872
390	3123	4864
391	3131	4857
392	3140	4850
393	3148	4842
394	3155	4833
395	3163	4824
396	3170	4814
397	3177	4806
398	3185	4798
399	3192	4788
400	3200	4780
401	3208	4772
402	3216	4764
403	3224	4756
404	3232	4748
405	3239	4740
406	3248	4732
407	3256	4724
408	3263	4716
409	3272	4709
410	3280	4701
411	3288	4693
412	3296	4684
413	3303	4676
414	3310	4667
415	3318	4659
416	3326	4650
417	3334	4642
418	3342	4634
419	3351	4627
420	3358	4618
421	3365	4609
422	3373	4601
423	3381	4593
424	3388	4584
425	3396	4576
426	3404	4569
427	3412	4560
428	3420	4553
429	3428	4544
430	3436	4536
431	3443	4528
432	3451	4519
433	3460	4512
434	3469	4506
435	3477	4498
436	3484	4489
437	3492	4480
438	3499	4472
439	3507	4464
440	3515	4456
441	3523	4448
442	3530	4438
443	3538	4430
444	3545	4422
445	3553	4414
446	3562	4407
447	3570	4399
448	3578	4391
449	3585	4382
450	3593	4374
451	3600	4365
452	3607	4356
453	3615	4347
454	3622	4339
455	3630	4330
456	3638	4323
457	3646	4314
458	3653	4306
459	3661	4298
460	3669	4290
461	3677	4281
462	3685	4274
463	3692	4265
464	3699	4256
465	3707	4248
466	3715	4240
467	3723	4233
468	3731	4224
469	3739	4216
470	3746	4207
471	3754	4199
472	3763	4193
473	3771	4185
474	3779	4177
475	3786	4168
476	3793	4159
477	3801	4151
478	3808	4142
479	3816	4134
480	3824	4126
481	3832	4118
482	3840	4110
483	3848	4102
484	3856	4095
485	3865	4088
486	3873	4079
487	3881	4072
488	3888	4063
489	3896	4055
490	3904	4047
491	3911	4039
492	3920	4031
493	3927	4022
494	3935	4015
495	3942	4006
496	3950	3998
497	3958	3990
498	3967	3983
499	3975	3975
500	3983	3967
501	3990	3958
502	3998	3950
503	4006	3943
504	4015	3935
505	4023	3928
506	4031	3920
507	4039	3912
508	4047	3904
509	4056	3897
510	4064	3889
511	4072	3881
512	4081	3874
513	4089	3866
514	4096	3858
515	4104	3850
516	4112	3842
517	4120	3834
518	4129	3826
519	4137	3819
520	4144	3810
521	4152	3802
522	4160	3794
523	4169	3787
524	4177	3779
525	4185	3772
526	4193	3764
527	4201	3756
528	4209	3748
529	4218	3740
530	4226	3733
531	4235	3726
532	4244	3718
533	4252	3710
534	4260	3703
535	4269	3696
536	4277	3687
537	4284	3679
538	4292	3671
539	4300	3663
540	4308	3655
541	4316	3647
542	4324	3639
543	4333	3632
544	4341	3624
545	4348	3615
546	4356	3607
547	4365	3600
548	4373	3592
549	4381	3584
550	4388	3576
551	4396	3567
552	4403	3559
553	4410	3551
554	4418	3542
555	4426	3534
556	4434	3527
557	4442	3518
558	4450	3511
559	4458	3503
560	4467	3496
561	4475	3488
562	4484	3480
563	4492	3472
564	4499	3464
565	4507	3456
566	4516	3448
567	4524	3440
568	4532	3433
569	4540	3425
570	4548	3417
571	4556	3409
572	4564	3401
573	4572	3393
574	4580	3385
575	4587	3377
576	4595	3369
577	4603	3360
578	4610	3352
579	4618	3344
580	4626	3336
581	4634	3328
582	4643	3321
583	4652	3313
584	4660	3305
585	4667	3297
586	4676	3290
587	4683	3281
588	4690	3273
589	4698	3265
590	4705	3256
591	4714	3249
592	4722	3241
593	4729	3232
594	4737	3224
595	4745	3216
596	4754	3209
597	4763	3202
598	4771	3193
599	4778	3185
600	4786	3177
601	4794	3169
602	4801	3161
603	4809	3153
604	4816	3144
605	4823	3136
606	4831	3128
607	4839	3120
608	4848	3113
609	4857	3105
610	4864	3097
611	4871	3088
612	4880	3080
613	4887	3072
614	4894	3064
615	4902	3055
616	4910	3048
617	4917	3039
618	4925	3031
619	4932	3023
620	4940	3015
621	4948	3007
622	4956	2999
623	4963	2990
624	4971	2982
625	4979	2974
626	4987	2966
627	4995	2958
628	5002	2950
629	5011	2943
630	5019	2935
631	5027	2927
632	5034	2918
633	5042	2910
634	5050	2903
635	5059	2895
636	5066	2887
637	5074	2879
638	5081	2870
639	5089	2862
640	5096	2854
641	5103	2845
642	5111	2838
643	5119	2829
644	5126	2821
645	5134	2813
646	5143	2806
647	5151	2798
648	5161	2791
649	5168	2783
650	5176	2775
651	5183	2766
652	5191	2758
653	5199	2750
654	5207	2743
655	5216	2735
656	5224	2727
657	5232	2719
658	5240	2711
659	5248	2703
660	5257	2696
661	5266	2688
662	5274	2680
663	5281	2672
664	5289	2664
665	5296	2656
666	5304	2648
667	5312	2640
668	5320	2632
669	5327	2623
670	5334	2615
671	5343	2607
672	5350	2599
673	5359	2592
674	5367	2584
675	5375	2576
676	5382	2568
677	5390	2560
678	5397	2551
679	5406	2544
680	5413	2535
681	5421	2527
682	5429	2520
683	5437	2512
684	5446	2504
685	5454	2496
686	5461	2488
687	5469	2480
688	5477	2472
689	5485	2464
690	5493	2456
691	5502	2449
692	5509	2440
693	5518	2433
694	5526	2425
695	5534	2417
696	5542	2409
697	5550	2401
698	5559	2393
699	5566	2385
700	5574	2377
701	5581	2369
702	5589	2361
703	5597	2353
704	5604	2345
705	5612	2337
706	5620	2329
707	5627	2320
708	5635	2313
709	5643	2305
710	5651	2297
711	5659	2289
712	5666	2280
713	5674	2272
714	5682	2265
715	5690	2257
716	5698	2249
717	5706	2241
718	5714	2233
719	5722	2225
720	5730	2217
721	5739	2209
722	5747	2201
723	5755	2194
724	5763	2185
725	5770	2177
726	5778	2169
727	5785	2161
728	5794	2153
729	5801	2145
730	5809	2137
731	5817	2130
732	5826	2122
733	5834	2114
734	5842	2106
735	5851	2099
736	5859	2091
737	5867	2083
738	5875	2075
739	5883	2067
740	5892	2059
741	5900	2051
742	5908	2043
743	5916	2035
744	5924	2027
745	5932	2019
746	5940	2012
747	5948	2004
748	5956	1996
749	5963	1987
750	5970	1979
751	5978	1971
752	5987	1963
753	5995	1956
754	6003	1948
755	6011	1940
756	6019	1932
757	6027	1924
758	6035	1916
759	6043	1908
760	6051	1900
761	6060	1892
762	6068	1884
763	6076	1876
764	6083	1868
765	6091	1860
766	6099	1852
767	6108	1845
768	6115	1837
769	6123	1829
770	6132	1821
771	6139	1813
772	6149	1805
773	6158	1798
774	6166	1790
775	6173	1782
776	6180	1773
777	6187	1765
778	6196	1757
779	6203	1749
780	6211	1741
781	6220	1734
782	6228	1726
783	6235	1717
784	6243	1710
785	6252	1702
786	6260	1694
787	6267	1686
788	6275	1678
789	6283	1670
790	6290	1662
791	6299	1654
792	6307	1646
793	6314	1638
794	6323	1630
795	6331	1622
796	6338	1614
797	6348	1606
798	6357	1599
799	6365	1591
800	6372	1583
801	6379	1575
802	6386	1566
803	6395	1559
804	6402	1550
805	6410	1543
806	6418	1535
807	6426	1527
808	6434	1519
809	6444	1511
810	6453	1503
811	6460	1495
812	6468	1487
813	6476	1479
814	6483	1471
815	6492	1463
816	6499	1455
817	6508	1448
818	6516	1440
819	6524	1432
820	6531	1423
821	6539	1415
822	6547	1408
823	6556	1400
824	6563	1392
825	6571	1384
826	6579	1376
827	6587	1368
828	6595	1360
829	6603	1352
830	6611	1344
831	6618	1336
832	6626	1328
833	6634	1320
834	6642	1312
835	6650	1304
836	6658	1296
837	6664	1288
838	6673	1280
839	6680	1272
840	6689	1264
841	6697	1256
842	6705	1248
843	6712	1240
844	6720	1232
845	6728	1224
846	6736	1216
847	6744	1208
848	6752	1201
849	6760	1193
850	6767	1184
851	6775	1177
852	6782	1168
853	6790	1160
854	6797	1152
855	6805	1144
856	6813	1136
857	6820	1128
858	6827	1120
859	6835	1112
860	6843	1104
861	6852	1096
862	6860	1089
863	6868	1081
864	6875	1073
865	6883	1065
866	6891	1057
867	6899	1049
868	6906	1041
869	6914	1033
870	6922	1025
871	6929	1017
872	6938	1009
873	6948	1001
874	6955	993
875	6963	985
876	6970	977
877	6978	969
878	6985	961
879	6993	953
880	7001	945
881	7008	937
882	7016	929
883	7024	921
884	7031	913
885	7040	905
886	7048	897
887	7056	889
888	7064	882
889	7072	874
890	7080	866
891	7089	858
892	7097	850
893	7104	842
894	7111	834
895	7119	826
896	7127	818
897	7136	810
898	7145	802
899	7152	794
900	7160	786
901	7168	778
902	7176	770
903	7184	762
904	7192	754
905	7200	747
906	7207	739
907	7215	731
908	7223	723
909	7231	715
910	7240	707
911	7248	699
912	7255	691
913	7263	683
914	7271	675
915	7280	667
916	7287	659
917	7295	651
918	7304	643
919	7312	635
920	7321	627
921	7329	620
922	7337	612
923	7345	604
924	7353	596
925	7360	588
926	7368	580
927	7376	572
928	7384	564
929	7392	556
930	7400	548
931	7407	540
932	7416	532
933	7424	524
934	7432	516
935	7440	508
936	7448	500
937	7456	492
938	7464	484
939	7472	476
940	7480	468
941	7488	461
942	7496	453
943	7504	445
944	7512	437
945	7519	429
946	7528	421
947	7536	413
948	7544	405
949	7552	397
950	7560	389
951	7568	381
952	7575	373
953	7584	365
954	7592	357
955	7599	349
956	7607	341
957	7614	333
958	7622	325
959	7631	317
960	7639	310
961	7647	302
962	7654	294
963	7661	286
964	7668	278
965	7677	270
966	7684	262
967	7692	254
968	7700	246
969	7708	238
970	7716	230
971	7723	222
972	7731	214
973	7739	206
974	7747	198
975	7755	190
976	7762	182
977	7770	174
978	7778	166
979	7785	158
980	7794	150
981	7801	142
982	7809	135
983	7816	127
984	7825	119
985	7832	111
986	7840	103
987	7848	95
988	7855	87
989	7864	79
990	7872	71
991	7880	63
992	7888	55
993	7896	47
994	7904	39
995	7911	31
996	7919	23
997	7928	15
998	7936	7
999	7944	0
